family,sequence,arm,stride,config_authority,config_sha256,shared_semantic_sha256,source_heads,run_ids,repetitions,ate_rmse_m_mean,ate_rmse_m_std,ate_rmse_m_median,ate_rmse_m_min,ate_rmse_m_max,est_wall_s_mean,est_wall_s_std,est_wall_s_median,est_wall_s_min,est_wall_s_max,est_cpu_s_mean,est_cpu_s_std,est_cpu_s_median,est_cpu_s_min,est_cpu_s_max,offline_wall_s_mean,offline_wall_s_std,offline_wall_s_median,offline_wall_s_min,offline_wall_s_max,peak_pss_mib_mean,peak_pss_mib_std,peak_pss_mib_median,peak_pss_mib_min,peak_pss_mib_max,final_pss_mib_mean,final_pss_mib_std,final_pss_mib_median,final_pss_mib_min,final_pss_mib_max,peak_uss_mib_mean,peak_uss_mib_std,peak_uss_mib_median,peak_uss_mib_min,peak_uss_mib_max,final_uss_mib_mean,final_uss_mib_std,final_uss_mib_median,final_uss_mib_min,final_uss_mib_max,rows,backend_rejected,visual_calls,visual_commits,final_validity
NTU,eee_03,N-LIVO-STRIDE,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-eee_03-N-LIVO-r1;P15-eee_03-N-LIVO-r2;P15-eee_03-N-LIVO-r3,3,0.03021359209666667,2.468115530203961e-05,0.030212569936,0.030183888023,0.030244318331,34.260877416666645,4.133708462719124,36.57150733599994,28.455072105000017,37.75605280899998,120.04807488999978,16.543094029066488,129.5636734909995,96.78079214100002,133.79975903799985,36.9672,4.110423098254808,39.2134,31.2009,40.4873,2203.2805989583335,1.6952874357106162,2203.9345703125,2200.9560546875,2204.951171875,2203.2805989583335,1.6952874357106162,2203.9345703125,2200.9560546875,2204.951171875,2201.2174479166665,2.117308415725103,2202.484375,2198.234375,2202.93359375,2201.2174479166665,2.117308415725103,2202.484375,2198.234375,2202.93359375,1810;1810;1810,0;0;0,1811;1811;1811,1809;1809;1809,VALID_3_REPS
NTU,eee_03,P-LIVO-STRIDE,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,P15-eee_03-P-LIVO-r1;P15-eee_03-P-LIVO-r2;P15-eee_03-P-LIVO-r3,3,0.029665227352,0.0,0.029665227352,0.029665227352,0.029665227352,30.75892082266663,3.848485503144259,33.398751918999984,25.317145276999934,33.56086527199997,105.29953406999995,13.14707092251966,113.9879843700004,86.71974309699995,115.19087474299951,32.98246666666667,4.109252280187019,35.702,27.175,36.0704,1049.1598307291667,4.235262081479407,1046.2978515625,1046.0341796875,1055.1474609375,1049.1598307291667,4.235262081479407,1046.2978515625,1046.0341796875,1055.1474609375,1046.5729166666667,4.630273876434301,1043.3125,1043.28515625,1053.12109375,1046.5729166666667,4.630273876434301,1043.3125,1043.28515625,1053.12109375,1806;1806;1806,1;1;1,1806;1806;1806,1804;1804;1804,VALID_3_REPS
NTU,nya_01,N-LIO,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-nya_01-N-LIO-r1;P15-nya_01-N-LIO-r2;P15-nya_01-N-LIO-r3,3,0.027764369868,0.0,0.027764369868,0.027764369868,0.027764369868,34.63314997233332,4.295593946088579,36.397002129000064,28.716860955000037,38.78558683299986,139.60949370566684,16.993217343528173,147.0592472510006,116.09749908799986,155.671734778,38.38056666666667,4.7195295615370645,40.6174,31.8162,42.7081,556.978515625,1.0120090377464368,557.533203125,555.55859375,557.84375,556.978515625,1.0120090377464368,557.533203125,555.55859375,557.84375,554.3424479166666,1.2313895088934481,554.5,552.76171875,555.765625,554.3424479166666,1.2313895088934481,554.5,552.76171875,555.765625,3948;3948;3948,0;0;0,0;0;0,0;0;0,VALID_3_REPS
NTU,nya_01,P-LIO,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,P15-nya_01-P-LIO-r1;P15-nya_01-P-LIO-r2;P15-nya_01-P-LIO-r3,3,0.023256332556,0.0,0.023256332556,0.023256332556,0.023256332556,24.317505264000015,2.808189675969531,26.085411869999977,20.353816005000063,26.513287917000007,91.7726129196668,10.374827024535216,98.01174133200023,77.152591715,100.15350571200018,29.21966666666667,3.394964084575204,31.1601,24.4462,32.0527,246.88802083333334,1.6798805934110412,246.4931640625,245.056640625,249.1142578125,246.46875,1.500332053836485,246.4931640625,244.619140625,248.2939453125,244.26302083333334,2.0390533538002624,243.5078125,242.23046875,247.05078125,243.890625,1.831713336399774,243.5078125,241.86328125,246.30078125,3944;3944;3944,0;0;0,0;0;0,0;0;0,VALID_3_REPS
NTU,nya_01,N-LIVO-STRIDE,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-nya_01-N-LIVO-r1;P15-nya_01-N-LIVO-r2;P15-nya_01-N-LIVO-r3,3,0.037922360253666666,5.961757609309617e-05,0.037964516246,0.037838048269,0.037964516246,71.83591488799993,11.184240930201673,78.86845793999971,56.05023541199997,80.5890513120001,260.064010799,42.25701136602303,284.76234947199924,200.5876034310003,294.8420794940006,79.55576666666667,13.373893518426941,88.2122,60.6642,89.7909,2285.9485677083335,2.499160668091477,2286.8505859375,2282.5380859375,2288.45703125,2285.9485677083335,2.499160668091477,2286.8505859375,2282.5380859375,2288.45703125,2283.2825520833335,2.598718911191374,2284.765625,2279.62890625,2285.453125,2283.2825520833335,2.598718911191374,2284.765625,2279.62890625,2285.453125,3945;3945;3945,0;0;0,3946;3946;3946,3944;3944;3944,VALID_3_REPS
NTU,nya_01,P-LIVO-STRIDE,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,P15-nya_01-P-LIVO-r1;P15-nya_01-P-LIVO-r2;P15-nya_01-P-LIVO-r3,3,0.038840353663,7.505105510505377e-06,0.038835046752,0.038835046752,0.038850967485,56.10569162800012,6.4671576215413245,59.657259985000145,47.030868937000186,61.628945962000046,197.98717407233394,24.25268673073442,212.0569142849994,163.86317278300106,218.04143514900133,61.9444,5.2493588205291015,64.5562,54.6204,66.6566,2022.5680338541667,1.4572154528939385,2023.4541015625,2020.513671875,2023.736328125,2022.0354817708333,1.2026409369886155,2022.138671875,2020.513671875,2023.4541015625,2019.87890625,1.7031697958558403,2020.765625,2017.49609375,2021.375,2019.3697916666667,1.5862848979804238,2019.23828125,2017.49609375,2021.375,3941;3941;3941,1;1;1,3941;3941;3941,3939;3939;3939,VALID_3_REPS
NTU,nya_02,N-LIO,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-nya_02-N-LIO-r1;P15-nya_02-N-LIO-r2;P15-nya_02-N-LIO-r3,3,0.029233703789,0.0,0.029233703789,0.029233703789,0.029233703789,38.009364376666696,5.863492831859741,41.40504542800016,29.759971750000002,42.863075951999924,153.44850158433283,22.651434693986626,166.81420003799934,121.55355567399953,171.9777490409996,42.09256666666666,6.150583367634505,45.7294,33.4313,47.117,542.9781901041666,1.2680736657908669,542.759765625,541.5458984375,544.62890625,542.8323567708334,1.309294727649758,542.322265625,541.5458984375,544.62890625,540.6184895833334,1.6763269839497472,540.73046875,538.51171875,542.61328125,540.49609375,1.6770873770655184,540.36328125,538.51171875,542.61328125,4284;4284;4284,0;0;0,0;0;0,0;0;0,VALID_3_REPS
NTU,nya_02,P-LIO,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,P15-nya_02-P-LIO-r1;P15-nya_02-P-LIO-r2;P15-nya_02-P-LIO-r3,3,0.029556829655,0.0,0.029556829655,0.029556829655,0.029556829655,27.322735008333286,3.593569644265689,29.59265538099991,22.249982253999914,30.125567390000032,103.31508910566708,13.474285884834211,111.95259335200026,84.28648618600035,113.70618777900063,32.56773333333334,4.261796192008977,35.0844,26.5666,36.0522,259.6025390625,1.141865095357632,259.1962890625,258.4521484375,261.1591796875,258.9104817708333,0.8577537579816233,258.4521484375,258.1669921875,260.1123046875,257.1106770833333,1.7174010252317349,256.0234375,255.7734375,259.53515625,256.4583333333333,1.5147533379056077,255.7734375,255.04296875,258.55859375,4280;4280;4280,0;0;0,0;0;0,0;0;0,VALID_3_REPS
NTU,nya_02,N-LIVO-STRIDE,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-nya_02-N-LIVO-r1;P15-nya_02-N-LIVO-r2;P15-nya_02-N-LIVO-r3,3,0.036970454491333335,8.832376522878498e-07,0.036969829948,0.036969829948,0.036971703578,74.72763463366671,11.834343210148678,82.77265777100003,57.99545269700006,83.41479343300003,275.3034525509989,45.04468731599304,305.5719638529981,211.62644563099994,308.71194816899856,83.08073333333334,14.370216962020981,90.3481,63.011,95.8831,2400.3138020833335,19.452877954482954,2411.6513671875,2372.9375,2416.3525390625,2400.3138020833335,19.452877954482954,2411.6513671875,2372.9375,2416.3525390625,2398.2890625,18.9698908974408,2408.96484375,2371.63671875,2414.265625,2398.2890625,18.9698908974408,2408.96484375,2371.63671875,2414.265625,4283;4283;4283,0;0;0,4283;4283;4283,4282;4282;4282,VALID_3_REPS
NTU,nya_02,P-LIVO-STRIDE,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,P15-nya_02-P-LIVO-r1;P15-nya_02-P-LIVO-r2;P15-nya_02-P-LIVO-r3,3,0.046925802685,5.23620109226912e-05,0.046962828218,0.046851751619,0.046962828218,60.565357472333396,8.904535363386666,65.7246838529998,48.03722010100011,67.93416846300028,214.48706974133398,30.35920724263638,232.73340680699988,171.70642678800124,239.02137562900083,65.53676666666667,9.411838686935134,71.1019,52.283,73.2254,2168.5970052083335,3.3315681552110408,2167.861328125,2164.9345703125,2172.9951171875,2168.5970052083335,3.3315681552110408,2167.861328125,2164.9345703125,2172.9951171875,2166.00390625,3.649081514359127,2164.80859375,2162.25390625,2170.94921875,2166.00390625,3.649081514359127,2164.80859375,2162.25390625,2170.94921875,4279;4279;4279,0;0;0,4279;4279;4279,4277;4277;4277,VALID_3_REPS
