axis,arm,sequence,repetition,stride,bucket_policy,mode,status,affinity,workers,build,ate_rmse_m,gt_matches,trajectory_rows,backend_attempted,backend_success,backend_rejected,estimator_wall_s,estimator_epoch_count,estimator_wall_per_epoch_s,estimator_cpu_s,estimator_cpu_per_epoch_s,total_wall_s,process_cpu_s,bag_reader_s,peak_rss_mib,final_rss_mib,peak_pss_mib,final_pss_mib,peak_uss_mib,final_uss_mib,median_raw_cpu_pct,peak_raw_cpu_pct,image_read,image_seen,image_dropped,visual_process_calls,visual_state_commits,selected_timestamp_sha256,run_dir,notes
B,P1,College_03,2,2,strict_reclass,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.0986,5673,5673,5680,5680,0,108.035222135,11359,0.00951098,298.568343618,0.026284738,180.582,429.786,180.535,11664.230,11664.230,11647.237,11647.237,11643.555,11643.555,240.931,261.159,5682,5682,0,5673,4742,40843a601ddb1db664cc929d474c35772bf1df829b8391199a1d863fb61e5b12,results/prob_livo/runs/prompt18_p1_p_livo_College_03_r2_fix,Prompt18 secondary reuse; resource-compatible four-core cell
B,P1,College_03,3,2,strict_reclass,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.0952,5673,5673,5680,5680,0,108.570561442,11359,0.009558109,300.83856085,0.026484599,180.523,430.582,180.476,11593.000,11593.000,11576.039,11576.039,11572.547,11572.547,241.837,261.455,5682,5682,0,5673,4760,40843a601ddb1db664cc929d474c35772bf1df829b8391199a1d863fb61e5b12,results/prob_livo/runs/prompt18_p1_p_livo_College_03_r3_fix,Prompt18 secondary reuse; resource-compatible four-core cell
B,P1,Palace_01,1,2,strict_reclass,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.335,8031,8031,8038,8038,0,135.757545396,16075,0.008445259,383.777701621,0.023874196,237.702,569.619,237.635,15730.406,15730.406,15713.316,15713.316,15709.867,15709.867,242.698,262.160,8041,8041,0,8031,6745,8db5c4ba7b35334f4f20007a49f58e8321909b351649c4a5815bbdcf0d0cc0da,results/prob_livo/runs/prompt18_p1_p_livo_Palace_01_r1_fix,Prompt18 secondary reuse; resource-compatible four-core cell
B,P1,Palace_01,2,2,strict_reclass,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.3231,8031,8031,8038,8038,0,137.29679508,16075,0.008541014,385.07345307,0.023954803,239.325,570.767,239.259,15748.598,15748.598,15731.499,15731.499,15728.000,15728.000,240.778,264.434,8041,8041,0,8031,6730,8db5c4ba7b35334f4f20007a49f58e8321909b351649c4a5815bbdcf0d0cc0da,results/prob_livo/runs/prompt18_p1_p_livo_Palace_01_r2_fix,Prompt18 secondary reuse; resource-compatible four-core cell
B,P1,Palace_01,3,2,strict_reclass,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.3291,8031,8031,8038,8038,0,138.640171992,16075,0.008624583,389.874590951,0.024253474,241.084,577.154,241.023,15709.902,15709.902,15692.654,15692.654,15689.199,15689.199,242.019,265.591,8041,8041,0,8031,6717,8db5c4ba7b35334f4f20007a49f58e8321909b351649c4a5815bbdcf0d0cc0da,results/prob_livo/runs/prompt18_p1_p_livo_Palace_01_r3_fix,Prompt18 secondary reuse; resource-compatible four-core cell
B,P1,Quarter_01,1,2,strict_reclass,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.0694,5737,5737,5744,5744,0,115.691471751,11487,0.010071513,322.246731041,0.028053167,192.229,459.107,192.174,11758.121,11758.121,11742.633,11742.633,11739.648,11739.648,241.760,263.076,5746,5746,0,5737,4877,bbcbc21cfa3130cc6b5800132555fa58363dbcf30d39b1c859100f9ada4b11c8,results/prob_livo/runs/prompt18_p1_p_livo_Quarter_01_r1_fix,Prompt18 secondary reuse; resource-compatible four-core cell
B,P1,Quarter_01,2,2,strict_reclass,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.0673,5737,5737,5744,5744,0,103.027514912,11487,0.008969053,289.036960219,0.025162093,171.399,409.272,171.353,11783.348,11765.574,11767.284,11749.347,11764.449,11746.512,243.133,282.997,5746,5746,0,5737,4871,bbcbc21cfa3130cc6b5800132555fa58363dbcf30d39b1c859100f9ada4b11c8,results/prob_livo/runs/prompt18_p1_p_livo_Quarter_01_r2_fix,Prompt18 secondary reuse; resource-compatible four-core cell
B,P1,Quarter_01,3,2,strict_reclass,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.0744,5737,5737,5744,5744,0,101.878392231,11487,0.008869016,286.263654102,0.024920663,169.746,406.04,169.702,11746.605,11746.605,11730.720,11730.720,11727.988,11727.988,241.548,262.535,5746,5746,0,5737,4886,bbcbc21cfa3130cc6b5800132555fa58363dbcf30d39b1c859100f9ada4b11c8,results/prob_livo/runs/prompt18_p1_p_livo_Quarter_01_r3_fix,Prompt18 secondary reuse; resource-compatible four-core cell
B,P2,Church_05,1,1,strict_reclass,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.2294,3956,3956,3960,3960,0,122.471697205,7920,0.015463598,316.055404844,0.039905985,178.504,455.449,178.387,8137.527,8137.527,8121.139,8121.139,8118.438,8118.438,253.864,277.026,3961,3961,0,3956,3954,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,results/prob_livo/runs/prompt18_p2_p_livo_Church_05_r1,Prompt18 secondary reuse; resource-compatible four-core cell
B,P2,Church_05,2,1,strict_reclass,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.2335,3956,3956,3960,3960,0,124.36286811,7920,0.015702382,320.808758605,0.040506156,180.704,461.257,180.586,8168.879,8168.484,8152.504,8152.082,8149.793,8149.371,255.129,283.442,3961,3961,0,3956,3954,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,results/prob_livo/runs/prompt18_p2_p_livo_Church_05_r2,Prompt18 secondary reuse; resource-compatible four-core cell
B,P2,Church_05,3,1,strict_reclass,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.2306,3956,3956,3960,3960,0,124.938627442,7920,0.015775079,322.676275062,0.040741954,181.386,463.534,181.262,8145.406,8145.406,8129.095,8129.095,8126.398,8126.398,254.753,275.439,3961,3961,0,3956,3954,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,results/prob_livo/runs/prompt18_p2_p_livo_Church_05_r3,Prompt18 secondary reuse; resource-compatible four-core cell
B,P2,College_03,1,2,strict_reclass,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.0908,2834,2834,2840,2840,0,84.160282599,5679,0.01481956,218.475660393,0.038470798,124.799,316.68,124.753,5945.863,5945.863,5929.612,5929.612,5926.922,5926.922,254.077,273.947,2841,5682,2841,2834,2832,30df87679ddd892df4026617ebf7c051e788d4e65905bcbffd6191be7598b089,results/prob_livo/runs/prompt18_p2_p_livo_College_03_r1,Prompt18 secondary reuse; resource-compatible four-core cell
B,P2,College_03,2,2,strict_reclass,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.0923,2834,2834,2840,2840,0,84.523475996,5679,0.014883514,219.881680882,0.03871838,125.246,318.104,125.195,5944.566,5944.566,5928.148,5928.148,5925.461,5925.461,253.333,271.795,2841,5682,2841,2834,2832,30df87679ddd892df4026617ebf7c051e788d4e65905bcbffd6191be7598b089,results/prob_livo/runs/prompt18_p2_p_livo_College_03_r2,Prompt18 secondary reuse; resource-compatible four-core cell
B,P2,College_03,3,2,strict_reclass,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.0931,2834,2834,2840,2840,0,84.55724125,5679,0.01488946,218.595182249,0.038491844,125.604,316.797,125.554,5885.965,5885.965,5869.750,5869.750,5867.066,5867.066,252.627,272.302,2841,5682,2841,2834,2831,30df87679ddd892df4026617ebf7c051e788d4e65905bcbffd6191be7598b089,results/prob_livo/runs/prompt18_p2_p_livo_College_03_r3,Prompt18 secondary reuse; resource-compatible four-core cell
B,P2,Palace_01,1,2,strict_reclass,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.1302,4014,4014,4020,4020,0,107.091183096,8039,0.013321456,275.596623071,0.034282451,164.306,417.592,164.24,8095.254,8095.254,8079.114,8079.114,8076.387,8076.387,253.285,273.630,4021,8041,4020,4014,4012,b313f82875991a00193731dbf99d240b5c3db8cdf21e0e2ce24611fe05352986,results/prob_livo/runs/prompt18_p2_p_livo_Palace_01_r1,Prompt18 secondary reuse; resource-compatible four-core cell
B,P2,Palace_01,2,2,strict_reclass,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.13,4014,4014,4020,4020,0,108.11032993,8039,0.013448231,279.220859274,0.034733283,164.959,421.851,164.885,8120.289,8120.289,8103.896,8103.896,8101.180,8101.180,254.645,271.228,4021,8041,4020,4014,4012,b313f82875991a00193731dbf99d240b5c3db8cdf21e0e2ce24611fe05352986,results/prob_livo/runs/prompt18_p2_p_livo_Palace_01_r2,Prompt18 secondary reuse; resource-compatible four-core cell
