execution_index,slot_id,dataset,sequence,variant,repetition,order_block,position_in_block,status,ate_rmse_m,replaces_run_id,actual_run_id,notes
77,P15-College_03-P-LIVO-r2,OXFORD,College_03,P-LIVO,2,20,1,VALID,2.985600000000,,P15-College_03-P-LIVO-r2,formal_status=VALID; ATE_RMSE_m=2.985600; rows=5673; ALGORITHM_RED backend_rejected=2814 visual_commits=84/5673
78,P15-College_03-N-LIO-r2,OXFORD,College_03,N-LIO,2,20,2,VALID,0.054000000000,,P15-College_03-N-LIO-r2,formal_status=VALID; ATE_RMSE_m=0.054000; rows=2865
79,P15-College_03-P-LIO-r2,OXFORD,College_03,P-LIO,2,20,3,VALID,0.074800000000,,P15-College_03-P-LIO-r2,formal_status=VALID; ATE_RMSE_m=0.074800; rows=2861
80,P15-College_03-N-LIVO-r2,OXFORD,College_03,N-LIVO,2,20,4,VALID,0.074400000000,,P15-College_03-N-LIVO-r2,formal_status=VALID; ATE_RMSE_m=0.074400; rows=5673
81,P15-Palace_01-N-LIO-r2,OXFORD,Palace_01,N-LIO,2,21,1,VALID,0.147600000000,,P15-Palace_01-N-LIO-r2,formal_status=VALID; ATE_RMSE_m=0.147600; rows=4051
82,P15-Palace_01-P-LIO-r2,OXFORD,Palace_01,P-LIO,2,21,2,INCOMPLETE_TRAJECTORY,111871.772500000006,,P15-Palace_01-P-LIO-r2,formal_status=VALID; ATE_RMSE_m=111871.772500; rows=1419; INCOMPLETE_TRAJECTORY lidar_read=4052
83,P15-Palace_01-N-LIVO-r2,OXFORD,Palace_01,N-LIVO,2,21,3,VALID,0.128900000000,,P15-Palace_01-N-LIVO-r2,formal_status=VALID; ATE_RMSE_m=0.128900; rows=8030
84,P15-Palace_01-P-LIVO-r2,OXFORD,Palace_01,P-LIVO,2,21,4,VALID,1.845100000000,,P15-Palace_01-P-LIVO-r2,formal_status=VALID; ATE_RMSE_m=1.845100; rows=8031; ALGORITHM_RED backend_rejected=3980 visual_commits=121/8031
85,P15-Quarter_01-P-LIO-r2,OXFORD,Quarter_01,P-LIO,2,22,1,INCOMPLETE_TRAJECTORY,22634.745900000002,,P15-Quarter_01-P-LIO-r2,formal_status=VALID; ATE_RMSE_m=22634.745900; rows=1173; INCOMPLETE_TRAJECTORY lidar_read=2894
86,P15-Quarter_01-N-LIVO-r2,OXFORD,Quarter_01,N-LIVO,2,22,2,VALID,0.070300000000,,P15-Quarter_01-N-LIVO-r2,formal_status=VALID; ATE_RMSE_m=0.070300; rows=5736
87,P15-Quarter_01-P-LIVO-r2,OXFORD,Quarter_01,P-LIVO,2,22,3,VALID,5.935600000000,,P15-Quarter_01-P-LIVO-r2,formal_status=VALID; ATE_RMSE_m=5.935600; rows=5737; ALGORITHM_RED backend_rejected=2843 visual_commits=74/5737
88,P15-Quarter_01-N-LIO-r2,OXFORD,Quarter_01,N-LIO,2,22,4,VALID,0.062800000000,,P15-Quarter_01-N-LIO-r2,formal_status=VALID; ATE_RMSE_m=0.062800; rows=2893
89,P15-eee_01-P-LIO-r2,NTU,eee_01,P-LIO,2,23,1,VALID,0.049511281713,,P15-eee_01-P-LIO-r2,formal_status=VALID; ATE_RMSE_m=0.049511; rows=3981
90,P15-eee_01-N-LIVO-r2,NTU,eee_01,N-LIVO,2,23,2,VALID,0.032427050397,,P15-eee_01-N-LIVO-r2,formal_status=VALID; ATE_RMSE_m=0.032427; rows=3983
91,P15-eee_01-P-LIVO-r2,NTU,eee_01,P-LIVO,2,23,3,VALID,0.052040236474,,P15-eee_01-P-LIVO-r2,formal_status=VALID; ATE_RMSE_m=0.052040; rows=3979
92,P15-eee_01-N-LIO-r2,NTU,eee_01,N-LIO,2,23,4,VALID,0.030760061559,,P15-eee_01-N-LIO-r2,formal_status=VALID; ATE_RMSE_m=0.030760; rows=3985
93,P15-eee_02-N-LIVO-r2,NTU,eee_02,N-LIVO,2,24,1,VALID,0.036073558341,,P15-eee_02-N-LIVO-r2,formal_status=VALID; ATE_RMSE_m=0.036074; rows=3206
94,P15-eee_02-P-LIVO-r2,NTU,eee_02,P-LIVO,2,24,2,VALID,0.027748575294,,P15-eee_02-P-LIVO-r2,formal_status=VALID; ATE_RMSE_m=0.027749; rows=3202
95,P15-eee_02-N-LIO-r2,NTU,eee_02,N-LIO,2,24,3,VALID,0.021901091769,,P15-eee_02-N-LIO-r2,formal_status=VALID; ATE_RMSE_m=0.021901; rows=3208
96,P15-eee_02-P-LIO-r2,NTU,eee_02,P-LIO,2,24,4,VALID,0.017281438879,,P15-eee_02-P-LIO-r2,formal_status=VALID; ATE_RMSE_m=0.017281; rows=3204
