family,sequence,arm,stride,repetition,run_id,run_dir,status,config_authority,config_sha256,shared_semantic_sha256,source_head,ate_rmse_m,matched_count,trajectory_rows,backend_attempted,backend_success,backend_rejected,visual_calls,visual_commits,estimator_wall_s,estimator_cpu_s,estimator_count,offline_wall_s,offline_process_cpu_s,bag_duration_s,rtf,peak_raw_cpu_pct,peak_rss_mib,final_rss_mib,peak_pss_mib,final_pss_mib,peak_uss_mib,final_uss_mib,config_identity,stride_identity
NTU,eee_02,N-LIVO-STRIDE,1,3,P15-eee_02-N-LIVO-r3,results/prob_livo/prompt15/formal/P15-eee_02-N-LIVO-r3,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,0.035962174634,0,3206.0,3206.0,3206.0,0.0,3207.0,3205.0,66.62061142700007,236.6463366109998,6415.0,71.176,260.9,0.0,nan,395.473,3113.25390625,3113.25390625,3093.8046875,3093.8046875,3090.85546875,3090.85546875,PASS,PASS
NTU,eee_02,P-LIVO-STRIDE,1,1,P15-eee_02-P-LIVO-r1,results/prob_livo/prompt15/formal/P15-eee_02-P-LIVO-r1,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,0.027535443128,0,3202.0,3208.0,3208.0,0.0,3202.0,3200.0,44.956200119999956,151.785519829,6415.0,48.0888,159.965,0.0,nan,376.828,1711.2578125,1711.2578125,1690.8408203125,1690.8408203125,1688.80078125,1688.80078125,PASS,PASS
NTU,eee_02,P-LIVO-STRIDE,1,2,P15-eee_02-P-LIVO-r2,results/prob_livo/prompt15/formal/P15-eee_02-P-LIVO-r2,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,0.027748575294,0,3202.0,3208.0,3208.0,0.0,3202.0,3200.0,57.26968744299993,194.279858277,6415.0,61.174,203.972,0.0,nan,381.85,1716.4609375,1716.4609375,1696.4833984375,1696.4833984375,1693.6640625,1693.6640625,PASS,PASS
NTU,eee_02,P-LIVO-STRIDE,1,3,P15-eee_02-P-LIVO-r3,results/prob_livo/prompt15/formal/P15-eee_02-P-LIVO-r3,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,0.027338567828,0,3202.0,3208.0,3208.0,0.0,3202.0,3200.0,63.76985600100009,215.5236534070003,6415.0,71.5263,235.025,0.0,nan,371.91,1662.96875,1662.96875,1645.6640625,1645.6640625,1644.03515625,1644.03515625,PASS,PASS
NTU,eee_03,N-LIO,1,1,P15-eee_03-N-LIO-r1,results/prob_livo/prompt15/formal/P15-eee_03-N-LIO-r1,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,0.031571706463,0,1812.0,1812.0,1812.0,0.0,0.0,0.0,16.18504743699999,63.11430442900011,1814.0,17.8098,67.8491,0.0,nan,388.226,1333.96484375,1333.96484375,1313.671875,1313.671875,1311.6953125,1311.6953125,PASS,PASS
NTU,eee_03,N-LIO,1,2,P15-eee_03-N-LIO-r2,results/prob_livo/prompt15/formal/P15-eee_03-N-LIO-r2,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,0.031571706463,0,1812.0,1812.0,1812.0,0.0,0.0,0.0,23.989876154999997,87.78094455100019,1814.0,26.22,95.4284,0.0,nan,391.288,1330.45703125,1330.45703125,1310.1337890625,1310.1337890625,1307.3359375,1307.3359375,PASS,PASS
NTU,eee_03,N-LIO,1,3,P15-eee_03-N-LIO-r3,results/prob_livo/prompt15/formal/P15-eee_03-N-LIO-r3,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,0.031571706463,0,1812.0,1812.0,1812.0,0.0,0.0,0.0,20.742827771999984,79.96732120599988,1814.0,23.0042,87.96,0.0,nan,390.188,1331.2265625,1331.2265625,1311.6259765625,1311.6259765625,1308.671875,1308.671875,PASS,PASS
NTU,eee_03,P-LIO,1,1,P15-eee_03-P-LIO-r1,results/prob_livo/prompt15/formal/P15-eee_03-P-LIO-r1,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,0.029984326739,0,1808.0,1814.0,1814.0,0.0,0.0,0.0,12.531144084000022,47.196515539000075,1814.0,14.2703,49.1891,0.0,nan,351.522,252.80078125,251.9609375,232.0810546875,231.1826171875,229.94140625,229.11328125,PASS,PASS
NTU,eee_03,P-LIO,1,2,P15-eee_03-P-LIO-r2,results/prob_livo/prompt15/formal/P15-eee_03-P-LIO-r2,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,0.029984326739,0,1808.0,1814.0,1814.0,0.0,0.0,0.0,22.976259765,85.26369762199992,1814.0,25.7601,88.2329,0.0,nan,350.448,248.6953125,248.6953125,228.26953125,228.26953125,225.484375,225.484375,PASS,PASS
NTU,eee_03,P-LIO,1,3,P15-eee_03-P-LIO-r3,results/prob_livo/prompt15/formal/P15-eee_03-P-LIO-r3,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,0.029984326739,0,1808.0,1814.0,1814.0,0.0,0.0,0.0,16.36915036600001,61.60771387900011,1814.0,18.5473,64.0853,0.0,nan,354.268,249.234375,249.234375,229.4931640625,229.4931640625,226.52734375,226.52734375,PASS,PASS
